wavelength,flux,error,strip,errrms,errsys,errcal
13.255914,0.10001,0.009176,1,0.009176,0.0,8.75E-4
13.298482,0.09307,0.012502,1,0.009534,0.002968,0.001015
13.31801,0.09448,0.012156,1,0.009188,0.002968,7.83E-4
13.360578,0.098271,0.013027,1,0.009791,0.003236,0.001024
13.380106,0.093907,0.012513,1,0.009277,0.003236,7.32E-4
13.422673,0.093762,0.009755,1,0.009755,0.0,9.63E-4
13.442202,0.094472,0.009489,1,0.009489,0.0,7.62E-4
13.484769,0.092613,0.01351,1,0.009895,0.003616,9.4E-4
13.504297,0.094324,0.013069,1,0.009453,0.003616,7.68E-4
13.546865,0.099861,0.010124,1,0.010124,0.0,9.85E-4
13.566394,0.087764,0.009478,1,0.009478,0.0,7.43E-4
13.608961,0.094293,0.012678,1,0.010001,0.002678,9.83E-4
13.628489,0.093963,0.012445,1,0.009767,0.002678,7.84E-4
13.671058,0.093245,0.01291,1,0.010233,0.002678,0.001003
13.690586,0.09682,0.012734,1,0.010056,0.002678,7.66E-4
13.733153,0.093401,0.012963,1,0.010285,0.002678,9.27E-4
13.752682,0.095058,0.012896,1,0.010219,0.002678,7.63E-4
13.79525,0.097725,0.012537,1,0.010533,0.002004,9.34E-4
13.814778,0.098166,0.012613,1,0.010609,0.002004,8.02E-4
13.857347,0.099852,0.012597,1,0.010864,0.001733,9.73E-4
13.876875,0.101441,0.012563,1,0.01083,0.001733,8.76E-4
13.919442,0.102864,0.011913,1,0.011286,6.27E-4,0.001041
13.938971,0.098899,0.011622,1,0.010994,6.27E-4,7.94E-4
13.981539,0.098572,0.011506,1,0.011506,0.0,9.74E-4
14.001067,0.098554,0.011315,1,0.011315,0.0,7.41E-4
14.001878,0.09863,0.005513,5,0.005513,0.0,0.001464
14.072479,0.106047,0.00472,5,0.00472,0.0,0.001487
14.093568,0.10325,0.003702,5,0.003702,0.0,0.0013
14.164172,0.098327,0.004406,5,0.004406,0.0,0.001203
14.185258,0.107519,0.004944,5,0.004944,0.0,0.001165
14.255864,0.109179,0.003934,5,0.003934,0.0,0.001329
14.276948,0.101671,0.003596,5,0.003596,0.0,0.001127
14.368639,0.105789,0.003263,5,0.003263,0.0,0.00114
14.43925,0.10312,0.003431,5,0.003431,0.0,9.51E-4
14.460329,0.102899,0.003496,5,0.003496,0.0,0.001028
14.530942,0.109441,0.003833,5,0.003833,0.0,9.57E-4
14.55202,0.106546,0.003086,5,0.003086,0.0,0.001083
14.622635,0.103841,0.00375,5,0.00375,0.0,0.001437
14.643711,0.107207,0.003301,5,0.003301,0.0,0.001085
14.714327,0.107034,0.004802,5,0.003084,0.001718,0.001989
14.735402,0.106726,0.00484,5,0.003122,0.001718,0.001049
14.80602,0.109944,0.004806,5,0.003087,0.001718,0.001296
14.827093,0.107872,0.004981,5,0.003263,0.001718,0.001091
14.897712,0.104717,0.003958,5,0.003958,0.0,9.9E-4
14.918785,0.104872,0.003508,5,0.003508,0.0,0.001106
14.989405,0.106735,0.004913,5,0.002785,0.002129,0.001043
15.010476,0.106973,0.005262,5,0.003134,0.002129,0.001068
15.081097,0.112311,0.002739,5,0.002739,0.0,0.001047
15.102168,0.116119,0.003404,5,0.003404,0.0,0.001034
15.172789,0.113353,0.005222,5,0.003093,0.002129,0.001085
15.193859,0.110773,0.004876,5,0.002747,0.002129,0.001023
15.264482,0.115425,0.003171,5,0.003171,0.0,0.001137
15.356174,0.116304,0.003544,5,0.003544,0.0,0.001138
15.377243,0.118451,0.003281,5,0.003281,0.0,0.001193
15.447865,0.129493,0.003383,5,0.003383,0.0,0.001257
15.468936,0.120458,0.002763,5,0.002763,0.0,0.001199
15.539557,0.12573,0.002702,5,0.002702,0.0,0.001226
15.560628,0.126722,0.003012,5,0.003012,0.0,0.001267
15.63125,0.128633,0.005329,5,0.002748,0.002581,0.001338
15.65232,0.126611,0.005618,5,0.003037,0.002581,0.001273
15.722942,0.128812,0.004866,5,0.002722,0.002145,0.001365
15.744013,0.129534,0.005111,5,0.002966,0.002145,0.001255
15.814634,0.133217,0.005141,5,0.002996,0.002145,0.001389
15.835706,0.13375,0.004994,5,0.002849,0.002145,0.001297
15.906326,0.134696,0.003115,5,0.003115,0.0,0.001362
15.927398,0.135496,0.004238,5,0.004238,0.0,0.001405
15.998018,0.139343,0.003395,5,0.003395,0.0,0.001342
16.019091,0.139006,0.003992,5,0.003992,0.0,0.001432
16.08971,0.138533,0.007224,5,0.003399,0.003825,0.001306
16.110785,0.137821,0.007178,5,0.003353,0.003825,0.001381
16.181402,0.147063,0.00348,5,0.00348,0.0,0.001479
16.202477,0.141664,0.004375,5,0.004375,0.0,0.001517
16.273094,0.146365,0.003601,5,0.003601,0.0,0.001521
16.364786,0.148914,0.003745,5,0.003745,0.0,0.001569
16.385864,0.145708,0.004261,5,0.004261,0.0,0.001561
16.456478,0.150163,0.004257,5,0.004257,0.0,0.001563
16.477558,0.146786,0.004597,5,0.004597,0.0,0.001459
16.54817,0.157425,0.003868,5,0.003868,0.0,0.001666
16.569252,0.150222,0.003991,5,0.003991,0.0,0.001487
16.63986,0.157484,0.004116,5,0.004116,0.0,0.001586
16.660946,0.157663,0.00425,5,0.00425,0.0,0.001524
16.731552,0.156334,0.003717,5,0.003717,0.0,0.001495
16.75264,0.157553,0.004156,5,0.004156,0.0,0.001636
16.823244,0.160539,0.004276,5,0.004276,0.0,0.001548
16.914936,0.163447,0.005903,5,0.004659,0.001244,0.001623
